Timestamp,Fake_USD,Fake_BTC,Net_Worth
04:02:31,101511.09,0.0,101511.09
04:02:36,27231.53,1.0,101534.84
04:02:41,27231.53,1.0,101504.07
04:02:46,27231.53,1.0,101493.42
04:02:51,101489.75,0.0,101489.75
04:02:57,101489.75,0.0,101489.75
04:03:02,101489.75,0.0,101489.75
04:03:08,101489.75,0.0,101489.75
04:03:13,27226.42,1.0,101498.94
04:03:18,27226.42,1.0,101516.84
04:03:23,27226.42,1.0,101519.66
04:03:28,27226.42,1.0,101535.15
04:03:33,27226.42,1.0,101547.68
04:03:38,27226.42,1.0,101568.1
04:03:43,27226.42,1.0,101552.14
04:03:49,101536.69,0.0,101536.69
04:03:54,101536.69,0.0,101536.69
04:03:59,101536.69,0.0,101536.69
04:04:04,101536.69,0.0,101536.69
04:04:09,27235.8,1.0,101538.34
04:04:14,27235.8,1.0,101539.43
04:04:19,27235.8,1.0,101534.92
04:04:24,101519.88,0.0,101519.88
04:04:29,101519.88,0.0,101519.88
04:04:34,101519.88,0.0,101519.88
04:04:39,27212.85,1.0,101550.85
04:04:44,27212.85,1.0,101558.85
04:04:49,27212.85,1.0,101536.65
04:04:55,27212.85,1.0,101537.56
04:05:00,101529.38,0.0,101529.38
04:05:05,101529.38,0.0,101529.38
04:05:11,101529.38,0.0,101529.38
04:05:16,27205.29,1.0,101533.66
04:05:22,27205.29,1.0,101524.21
04:05:28,27205.29,1.0,101509.75
04:05:33,101513.22,0.0,101513.22
04:05:38,27190.83,1.0,101524.86
04:05:43,27190.83,1.0,101514.83
04:05:48,27190.83,1.0,101521.94
04:05:54,27190.83,1.0,101492.62
04:06:00,101497.72,0.0,101497.72
04:06:05,101497.72,0.0,101497.72
04:06:11,101497.72,0.0,101497.72
04:06:16,101497.72,0.0,101497.72
04:06:21,101497.72,0.0,101497.72
04:06:26,101497.72,0.0,101497.72
04:06:31,101497.72,0.0,101497.72
04:06:36,101497.72,0.0,101497.72
04:06:41,101497.72,0.0,101497.72
04:06:46,101497.72,0.0,101497.72
04:06:52,101497.72,0.0,101497.72
04:06:57,101497.72,0.0,101497.72
04:07:02,101497.72,0.0,101497.72
04:07:07,101497.72,0.0,101497.72
04:07:12,101497.72,0.0,101497.72
04:07:17,101497.72,0.0,101497.72
04:07:23,101497.72,0.0,101497.72
04:07:28,101497.72,0.0,101497.72
04:07:33,101497.72,0.0,101497.72
04:07:38,101497.72,0.0,101497.72
04:07:44,101497.72,0.0,101497.72
04:07:49,101497.72,0.0,101497.72
04:07:54,101497.72,0.0,101497.72
04:07:59,27284.42,1.0,101501.13
04:08:05,27284.42,1.0,101493.11
04:08:10,27284.42,1.0,101484.41
04:08:15,101478.66,0.0,101478.66
04:08:20,101478.66,0.0,101478.66
04:08:25,101478.66,0.0,101478.66
04:08:30,101478.66,0.0,101478.66
04:08:36,101478.66,0.0,101478.66
04:08:42,101478.66,0.0,101478.66
04:08:47,101478.66,0.0,101478.66
04:08:52,101478.66,0.0,101478.66
04:08:57,101478.66,0.0,101478.66
04:09:02,101478.66,0.0,101478.66
04:09:07,101478.66,0.0,101478.66
04:09:13,101478.66,0.0,101478.66
04:09:18,101478.66,0.0,101478.66
04:09:23,101478.66,0.0,101478.66
04:09:28,101478.66,0.0,101478.66
04:09:33,27343.56,1.0,101475.59
04:09:39,27343.56,1.0,101479.59
04:09:44,27343.56,1.0,101481.57
04:09:49,27343.56,1.0,101531.01
04:09:54,27343.56,1.0,101512.34
04:09:59,27343.56,1.0,101488.4
04:10:04,101489.88,0.0,101489.88
04:10:09,27313.61,1.0,101488.97
04:10:14,27313.61,1.0,101502.39
04:10:19,27313.61,1.0,101506.34
04:10:24,27313.61,1.0,101540.96
04:10:30,27313.61,1.0,101530.28
04:10:35,27313.61,1.0,101514.37
04:10:41,27313.61,1.0,101522.29
04:10:46,27313.61,1.0,101546.76
04:10:51,27313.61,1.0,101535.59
04:10:56,27313.61,1.0,101540.64
04:11:02,27313.61,1.0,101538.19
04:11:07,27313.61,1.0,101546.23
04:11:12,27313.61,1.0,101544.46
04:11:17,27313.61,1.0,101535.85
04:11:22,101532.45,0.0,101532.45
04:11:28,101532.45,0.0,101532.45
04:11:33,101532.45,0.0,101532.45
04:11:38,101532.45,0.0,101532.45
04:11:43,27287.65,1.0,101556.4
04:11:48,27287.65,1.0,101569.31
04:11:53,27287.65,1.0,101559.36
04:11:58,27287.65,1.0,101553.29
04:12:03,27287.65,1.0,101560.17
04:12:09,27287.65,1.0,101565.49
04:12:14,27287.65,1.0,101573.28
04:12:19,27287.65,1.0,101546.87
04:12:25,101522.41,0.0,101522.41
04:12:30,101522.41,0.0,101522.41
04:12:35,101522.41,0.0,101522.41
04:12:40,101522.41,0.0,101522.41
04:12:45,101522.41,0.0,101522.41
04:12:50,101522.41,0.0,101522.41
04:12:55,101522.41,0.0,101522.41
04:13:00,101522.41,0.0,101522.41
04:13:07,101522.41,0.0,101522.41
04:13:12,27328.36,1.0,101517.59
04:13:17,27328.36,1.0,101523.75
04:13:23,27328.36,1.0,101518.42
04:13:28,27328.36,1.0,101526.71
04:13:33,27328.36,1.0,101527.05
04:13:39,27328.36,1.0,101537.04
04:13:44,27328.36,1.0,101568.43
04:13:49,27328.36,1.0,101566.3
04:13:54,27328.36,1.0,101560.37
04:13:59,27328.36,1.0,101559.21
04:14:04,27328.36,1.0,101560.81
04:14:10,101556.29,0.0,101556.29
04:14:15,101556.29,0.0,101556.29
04:14:20,101556.29,0.0,101556.29
04:14:25,101556.29,0.0,101556.29
04:14:30,101556.29,0.0,101556.29
04:14:35,101556.29,0.0,101556.29
04:14:41,27317.29,1.0,101592.71
04:14:46,27317.29,1.0,101600.45
04:14:52,27317.29,1.0,101612.1
04:14:57,27317.29,1.0,101601.72
04:15:02,27317.29,1.0,101653.2
